source,target,source label,label,predicate_type,predicate uri
22,21475,fruit sherbet (artificially sweetened),food aeration process,formed as a result of,
22,21476,fruit sherbet (artificially sweetened),preservation by freezing,formed as a result of,
22,21469,fruit sherbet (artificially sweetened),nonnutritive sweetener added,has substance added,
22,21477,fruit sherbet (artificially sweetened),http://purl.obolibrary.org/obo/FOODON_03460147,has substance added,
22,21478,fruit sherbet (artificially sweetened),energy special claim or use,has consumer,
24,21464,soursop (whole- raw),whole- natural shape,has quality,
24,21462,soursop (whole- raw),not heat-treated,has quality,
24,21473,soursop (whole- raw),fruit- peel present- core- pit or seed present,derives from,
25,2978,papaya concentrate (nonnutritively sweetened),semisolid with smooth consistency,has quality,
25,21479,papaya concentrate (nonnutritively sweetened),fruit part,derives from,
25,21467,papaya concentrate (nonnutritively sweetened),water removal process,formed as a result of,
25,21469,papaya concentrate (nonnutritively sweetened),nonnutritive sweetener added,has substance added,
25,21478,papaya concentrate (nonnutritively sweetened),energy special claim or use,has consumer,
26,21480,cuttlefish (sliced- seasoned- dried),sliced,has quality,
26,18205,cuttlefish (sliced- seasoned- dried),skeletal meat part,derives from,
26,21467,cuttlefish (sliced- seasoned- dried),water removal process,formed as a result of,
26,21468,cuttlefish (sliced- seasoned- dried),preservation by dehydration or drying,formed as a result of,
26,21481,cuttlefish (sliced- seasoned- dried),flavoring- spice or herb added,has substance added,
28,14683,green tea (powdered),finely ground,has quality,
28,21459,green tea (powdered),partially heat-treated,has quality,
28,21482,green tea (powdered),leaf,derives from,
28,21467,green tea (powdered),water removal process,formed as a result of,
28,21468,green tea (powdered),preservation by dehydration or drying,formed as a result of,
29,21483,ziao-z pastry (case),whole- shape achieved by forming,has quality,
29,18497,ziao-z pastry (case),part of plant,derives from,
34,18366,cloudberry (canned),can- bottle or jar,surrounded by,
34,21464,cloudberry (canned),whole- natural shape,has quality,
34,21456,cloudberry (canned),fully heat-treated,has quality,
34,21473,cloudberry (canned),fruit- peel present- core- pit or seed present,derives from,
34,21484,cloudberry (canned),sterilization by heating,formed as a result of,
35,2282,bacon (baked),divided into pieces,has quality,
35,21456,bacon (baked),fully heat-treated,has quality,
35,12597,bacon (baked),belly meat,has quality,
35,18315,bacon (baked),skeletal meat part- without bone or shell,derives from,
35,12823,bacon (baked),food baking process,formed as a result of,
35,21485,bacon (baked),smoked or smoke-flavored,formed as a result of,
35,10001,bacon (baked),curing or aging process,formed as a result of,
37,21486,fat or oil- nonemulsified,liquid- high viscosity- with no visible particles,has quality,
37,21458,fat or oil- nonemulsified,solid,has quality,
37,484,fat or oil- nonemulsified,fat or oil,derives from,
38,21463,fruit punch homemade prepared with fruit,liquid- low viscosity- with no visible particles,has quality,
38,1752,fruit punch homemade prepared with fruit,home prepared,has quality,
38,21479,fruit punch homemade prepared with fruit,fruit part,derives from,
38,21487,fruit punch homemade prepared with fruit,sugar or sugar syrup added,has substance added,
41,2282,romano cheese (grated),divided into pieces,has quality,
41,21460,romano cheese (grated),curd,derives from,
41,4883,romano cheese (grated),lactic acid-other agent fermentation process,formed as a result of,
45,21481,dessert (flavored- water-based- energy reduced),flavoring- spice or herb added,has substance added,
45,21488,dessert (flavored- water-based- energy reduced),reduced energy food,has consumer,
46,21483,gelatin fruit salad (low calorie),whole- shape achieved by forming,has quality,
46,21477,gelatin fruit salad (low calorie),http://purl.obolibrary.org/obo/FOODON_03460147,has substance added,
46,21489,gelatin fruit salad (low calorie),gelatin added,has substance added,
46,21490,gelatin fruit salad (low calorie),sweetener added,has substance added,
46,6154,gelatin fruit salad (low calorie),dietary claim or use,has consumer,
46,21478,gelatin fruit salad (low calorie),energy special claim or use,has consumer,
48,21458,melon (dried),solid,has quality,
48,21479,melon (dried),fruit part,derives from,
48,21467,melon (dried),water removal process,formed as a result of,
48,21468,melon (dried),preservation by dehydration or drying,formed as a result of,
53,21491,orange marmalade with cointreau liqueur,semisolid with solid pieces,has quality,
53,21456,orange marmalade with cointreau liqueur,fully heat-treated,has quality,
53,21473,orange marmalade with cointreau liqueur,fruit- peel present- core- pit or seed present,derives from,
53,21492,orange marmalade with cointreau liqueur,alcoholated,formed as a result of,
53,21487,orange marmalade with cointreau liqueur,sugar or sugar syrup added,has substance added,
54,21483,lime-flavored gelatin dessert,whole- shape achieved by forming,has quality,
54,21493,lime-flavored gelatin dessert,sucrose,derives from,
54,21494,lime-flavored gelatin dessert,acidified,formed as a result of,
54,21495,lime-flavored gelatin dessert,certified color added,has substance added,
54,21489,lime-flavored gelatin dessert,gelatin added,has substance added,
54,21481,lime-flavored gelatin dessert,flavoring- spice or herb added,has substance added,
56,21486,maple syrup,liquid- high viscosity- with no visible particles,has quality,
56,21456,maple syrup,fully heat-treated,has quality,
56,21496,maple syrup,sugar syrup or syrup solids,derives from,
56,21467,maple syrup,water removal process,formed as a result of,
61,21458,leatherjacket (raw),solid,has quality,
61,21462,leatherjacket (raw),not heat-treated,has quality,
61,18205,leatherjacket (raw),skeletal meat part,derives from,
62,21486,chocolate-flavored topping (sweetened with sorbitol),liquid- high viscosity- with no visible particles,has quality,
62,21456,chocolate-flavored topping (sweetened with sorbitol),fully heat-treated,has quality,
62,21497,chocolate-flavored topping (sweetened with sorbitol),glucitol,derives from,
62,7886,chocolate-flavored topping (sweetened with sorbitol),microbial/enzymatic modification process,formed as a result of,
62,10001,chocolate-flavored topping (sweetened with sorbitol),curing or aging process,formed as a result of,
62,21472,chocolate-flavored topping (sweetened with sorbitol),flavoring or spice extract or concentrate added,has substance added,
62,21498,chocolate-flavored topping (sweetened with sorbitol),chocolate or cocoa added,has substance added,
66,21464,potato (whole- frozen),whole- natural shape,has quality,
66,21459,potato (whole- frozen),partially heat-treated,has quality,
66,12198,potato (whole- frozen),root- tuber or bulb,derives from,
66,21476,potato (whole- frozen),preservation by freezing,formed as a result of,
69,21458,fish (salted),solid,has quality,
69,18205,fish (salted),skeletal meat part,derives from,
69,21499,fish (salted),salted,formed as a result of,
69,21500,fish (salted),preservation by salting,formed as a result of,
72,21483,chocolate candy (with filled center),whole- shape achieved by forming,has quality,
72,21456,chocolate candy (with filled center),fully heat-treated,has quality,
72,21493,chocolate candy (with filled center),sucrose,derives from,
72,7886,chocolate candy (with filled center),microbial/enzymatic modification process,formed as a result of,
72,21501,chocolate candy (with filled center),food filling process,formed as a result of,
72,10001,chocolate candy (with filled center),curing or aging process,formed as a result of,
72,21472,chocolate candy (with filled center),flavoring or spice extract or concentrate added,has substance added,
72,21487,chocolate candy (with filled center),sugar or sugar syrup added,has substance added,
72,21498,chocolate candy (with filled center),chocolate or cocoa added,has substance added,
74,21464,seed sprout,whole- natural shape,has quality,
74,21462,seed sprout,not heat-treated,has quality,
74,21441,seed sprout,germinated or sprouted seed,derives from,
78,21464,langostino (frozen),whole- natural shape,has quality,
78,8248,langostino (frozen),skeletal meat part- with bone or shell,derives from,
78,21476,langostino (frozen),preservation by freezing,formed as a result of,
79,21502,orange juice solids,semisolid,has quality,
79,21503,orange juice solids,fruit- peel removed- core- pit or seed removed,derives from,
81,2978,flan (artificially sweetened),semisolid with smooth consistency,has quality,
81,21456,flan (artificially sweetened),fully heat-treated,has quality,
81,21504,flan (artificially sweetened),milk (mammary secretion),derives from,
81,21469,flan (artificially sweetened),nonnutritive sweetener added,has substance added,
81,21505,flan (artificially sweetened),http://purl.obolibrary.org/obo/FOODON_03460185,has substance added,
81,21481,flan (artificially sweetened),flavoring- spice or herb added,has substance added,
81,21478,flan (artificially sweetened),energy special claim or use,has consumer,
82,21464,scallop (shucked- raw),whole- natural shape,has quality,
82,21462,scallop (shucked- raw),not heat-treated,has quality,
82,21506,scallop (shucked- raw),meat part of animal,derives from,
84,21491,diabetic preserves,semisolid with solid pieces,has quality,
84,21456,diabetic preserves,fully heat-treated,has quality,
84,21479,diabetic preserves,fruit part,derives from,
84,21497,diabetic preserves,glucitol,has substance added,
84,6154,diabetic preserves,dietary claim or use,has consumer,
88,21458,whiting (frozen),solid,has quality,
88,18205,whiting (frozen),skeletal meat part,derives from,
88,21476,whiting (frozen),preservation by freezing,formed as a result of,
89,21463,seltzer water (flavored and sweetened),liquid- low viscosity- with no visible particles,has quality,
89,21487,seltzer water (flavored and sweetened),sugar or sugar syrup added,has substance added,
89,21481,seltzer water (flavored and sweetened),flavoring- spice or herb added,has substance added,
92,21507,yellowfin tuna (canned),can,surrounded by,
92,2282,yellowfin tuna (canned),divided into pieces,has quality,
92,21456,yellowfin tuna (canned),fully heat-treated,has quality,
92,18205,yellowfin tuna (canned),skeletal meat part,derives from,
92,6813,yellowfin tuna (canned),seafood enamel,adjacent to,http://purl.obolibrary.org/obo/RO_0002220
92,21484,yellowfin tuna (canned),sterilization by heating,formed as a result of,
93,21464,moreton bay chestnut black bean (raw),whole- natural shape,has quality,
93,21462,moreton bay chestnut black bean (raw),not heat-treated,has quality,
93,21457,moreton bay chestnut black bean (raw),seed- skin present- germ present,derives from,
94,21508,black fungus (food product),whole animal or most parts used,derives from,
96,2978,kamu,semisolid with smooth consistency,has quality,
96,21457,kamu,seed- skin present- germ present,derives from,
96,4883,kamu,lactic acid-other agent fermentation process,formed as a result of,
96,7886,kamu,microbial/enzymatic modification process,formed as a result of,
96,10001,kamu,curing or aging process,formed as a result of,
96,21509,kamu,preservation by fermentation,formed as a result of,
96,21481,kamu,flavoring- spice or herb added,has substance added,
97,2954,apple pie (baked),whole- shape achieved by forming- thickness 1.5-7 cm.,has quality,
97,21456,apple pie (baked),fully heat-treated,has quality,
97,21503,apple pie (baked),fruit- peel removed- core- pit or seed removed,derives from,
97,12823,apple pie (baked),food baking process,formed as a result of,
97,21501,apple pie (baked),food filling process,formed as a result of,
97,21510,apple pie (baked),grain added,has substance added,
99,18178,lemon cream sandwich wafer,whole- shape achieved by forming- thickness 0.3-1.5 cm.,has quality,
99,21456,lemon cream sandwich wafer,fully heat-treated,has quality,
99,21493,lemon cream sandwich wafer,sucrose,derives from,
99,12823,lemon cream sandwich wafer,food baking process,formed as a result of,
99,21501,lemon cream sandwich wafer,food filling process,formed as a result of,
99,21472,lemon cream sandwich wafer,flavoring or spice extract or concentrate added,has substance added,
99,21510,lemon cream sandwich wafer,grain added,has substance added,
99,21511,lemon cream sandwich wafer,fat or oil added,has substance added,
101,21466,tapioca starch for syrup,starch,derives from,
102,21458,colorado perch (raw),solid,has quality,
102,21462,colorado perch (raw),not heat-treated,has quality,
102,18205,colorado perch (raw),skeletal meat part,derives from,
112,21512,rye bran,skin or bran (pericarp),derives from,
112,21467,rye bran,water removal process,formed as a result of,
112,21468,rye bran,preservation by dehydration or drying,formed as a result of,
113,14683,yellow cake mix,finely ground,has quality,
113,7107,yellow cake mix,dry mix,has quality,
113,21468,yellow cake mix,preservation by dehydration or drying,formed as a result of,
113,21487,yellow cake mix,sugar or sugar syrup added,has substance added,
113,21513,yellow cake mix,color added,has substance added,
113,21510,yellow cake mix,grain added,has substance added,
113,21511,yellow cake mix,fat or oil added,has substance added,
114,21458,naked sole (raw),solid,has quality,
114,21462,naked sole (raw),not heat-treated,has quality,
114,18205,naked sole (raw),skeletal meat part,derives from,
115,21491,pineapple marmalade with pectin,semisolid with solid pieces,has quality,
115,21456,pineapple marmalade with pectin,fully heat-treated,has quality,
115,21479,pineapple marmalade with pectin,fruit part,derives from,
115,21514,pineapple marmalade with pectin,pectin added,has substance added,
115,21490,pineapple marmalade with pectin,sweetener added,has substance added,
118,21515,lemonade-flavored drink,liquid- low viscosity,has quality,
118,21494,lemonade-flavored drink,acidified,formed as a result of,
118,21490,lemonade-flavored drink,sweetener added,has substance added,
118,21481,lemonade-flavored drink,flavoring- spice or herb added,has substance added,
121,21507,pasta (canned),can,surrounded by,
121,5425,pasta (canned),whole- shape achieved by forming- thickness <0.3 cm.,has quality,
121,21456,pasta (canned),fully heat-treated,has quality,
121,21516,pasta (canned),seed (anatomical part),derives from,
121,21484,pasta (canned),sterilization by heating,formed as a result of,
121,16953,pasta (canned),packed in edible medium,immersed in,
123,21458,mullet (raw),solid,has quality,
123,21462,mullet (raw),not heat-treated,has quality,
123,18205,mullet (raw),skeletal meat part,derives from,
126,21458,amanatto (dry candied bean),solid,has quality,
126,21457,amanatto (dry candied bean),seed- skin present- germ present,derives from,
126,21467,amanatto (dry candied bean),water removal process,formed as a result of,
126,21517,amanatto (dry candied bean),candying process,formed as a result of,
126,21468,amanatto (dry candied bean),preservation by dehydration or drying,formed as a result of,
129,21463,ginger ale,liquid- low viscosity- with no visible particles,has quality,
129,21518,ginger ale,artificially carbonated,formed as a result of,
129,21487,ginger ale,sugar or sugar syrup added,has substance added,
129,21481,ginger ale,flavoring- spice or herb added,has substance added,
131,21458,cayenne pepper (dried),solid,has quality,
131,10751,cayenne pepper (dried),pod or seed,derives from,
131,21467,cayenne pepper (dried),water removal process,formed as a result of,
131,21468,cayenne pepper (dried),preservation by dehydration or drying,formed as a result of,
133,21464,strawberry (preserved in airtight container),whole- natural shape,has quality,
133,21473,strawberry (preserved in airtight container),fruit- peel present- core- pit or seed present,derives from,
135,484,cod liver oil emulsion (food product),fat or oil,derives from,
135,21519,cod liver oil emulsion (food product),food homogenization or emulsification process,formed as a result of,
136,21502,sandwich spread- fat-based- energy reduced,semisolid,has quality,
136,484,sandwich spread- fat-based- energy reduced,fat or oil,derives from,
136,21488,sandwich spread- fat-based- energy reduced,reduced energy food,has consumer,
137,21456,fish product (cooked),fully heat-treated,has quality,
137,18205,fish product (cooked),skeletal meat part,derives from,
138,9719,oyster-flavored sauce,food (liquid),has quality,
138,21456,oyster-flavored sauce,fully heat-treated,has quality,
138,18446,oyster-flavored sauce,preservation by adding chemicals,formed as a result of,
138,21470,oyster-flavored sauce,flavoring or taste ingredient added,has substance added,
139,21520,color additive (natural),extract- concentrate or isolate of plant or animal,derives from,
141,21456,grape beverage base (vitamin-fortified- artificially sweetened--flavored and colored),fully heat-treated,has quality,
141,5438,grape beverage base (vitamin-fortified- artificially sweetened--flavored and colored),beverage base,has quality,
141,21467,grape beverage base (vitamin-fortified- artificially sweetened--flavored and colored),water removal process,formed as a result of,
141,21469,grape beverage base (vitamin-fortified- artificially sweetened--flavored and colored),nonnutritive sweetener added,has substance added,
141,21513,grape beverage base (vitamin-fortified- artificially sweetened--flavored and colored),color added,has substance added,
141,21521,grape beverage base (vitamin-fortified- artificially sweetened--flavored and colored),http://purl.obolibrary.org/obo/FOODON_03460163,has substance added,
141,21522,grape beverage base (vitamin-fortified- artificially sweetened--flavored and colored),nutrient or dietary substance added,has substance added,
141,15260,grape beverage base (vitamin-fortified- artificially sweetened--flavored and colored),artificial fruit flavoring added,has substance added,
141,21478,grape beverage base (vitamin-fortified- artificially sweetened--flavored and colored),energy special claim or use,has consumer,
147,21486,condensed cow skim milk,liquid- high viscosity- with no visible particles,has quality,
147,21459,condensed cow skim milk,partially heat-treated,has quality,
147,21504,condensed cow skim milk,milk (mammary secretion),derives from,
147,13976,condensed cow skim milk,water removal to reconstitution ratio 1 plus 1,formed as a result of,
147,21461,condensed cow skim milk,pasteurization by heating,formed as a result of,
151,21483,whipped cream cake (frozen),whole- shape achieved by forming,has quality,
151,21456,whipped cream cake (frozen),fully heat-treated,has quality,
151,12823,whipped cream cake (frozen),food baking process,formed as a result of,
151,21476,whipped cream cake (frozen),preservation by freezing,formed as a result of,
151,21487,whipped cream cake (frozen),sugar or sugar syrup added,has substance added,
151,21510,whipped cream cake (frozen),grain added,has substance added,
151,21523,whipped cream cake (frozen),dairy product added,has substance added,
153,2978,margarine (salt-free),semisolid with smooth consistency,has quality,
153,21459,margarine (salt-free),partially heat-treated,has quality,
153,484,margarine (salt-free),fat or oil,derives from,
153,21461,margarine (salt-free),pasteurization by heating,formed as a result of,
153,5278,margarine (salt-free),vitamin a or carotenes added,has substance added,
153,21524,margarine (salt-free),no salt added claim or use,has consumer,
153,21525,margarine (salt-free),salt free food,has consumer,
157,21463,cream (sterilized),liquid- low viscosity- with no visible particles,has quality,
157,21456,cream (sterilized),fully heat-treated,has quality,
157,7673,cream (sterilized),cream food product,derives from,
157,21484,cream (sterilized),sterilization by heating,formed as a result of,
159,18366,pickled vegetable relish (canned),can- bottle or jar,surrounded by,
159,21456,pickled vegetable relish (canned),fully heat-treated,has quality,
159,18497,pickled vegetable relish (canned),part of plant,derives from,
159,21526,pickled vegetable relish (canned),pickling process,formed as a result of,
159,21494,pickled vegetable relish (canned),acidified,formed as a result of,
159,10001,pickled vegetable relish (canned),curing or aging process,formed as a result of,
159,21484,pickled vegetable relish (canned),sterilization by heating,formed as a result of,
159,21481,pickled vegetable relish (canned),flavoring- spice or herb added,has substance added,
160,21463,scuppernong grape juice (food product),liquid- low viscosity- with no visible particles,has quality,
160,21459,scuppernong grape juice (food product),partially heat-treated,has quality,
160,21473,scuppernong grape juice (food product),fruit- peel present- core- pit or seed present,derives from,
160,21461,scuppernong grape juice (food product),pasteurization by heating,formed as a result of,
161,21458,cheddar cheese (for processing),solid,has quality,
161,21460,cheddar cheese (for processing),curd,derives from,
161,10001,cheddar cheese (for processing),curing or aging process,formed as a result of,
161,7975,cheddar cheese (for processing),interior bacteria curing process,formed as a result of,
162,21458,deer meat (smoked),solid,has quality,
162,18205,deer meat (smoked),skeletal meat part,derives from,
162,21485,deer meat (smoked),smoked or smoke-flavored,formed as a result of,
162,21527,deer meat (smoked),preservation by smoking,formed as a result of,
164,21528,weaning food,infant or toddler consumer,has consumer,
165,21463,orange-flavored drink,liquid- low viscosity- with no visible particles,has quality,
165,21493,orange-flavored drink,sucrose,derives from,
165,21470,orange-flavored drink,flavoring or taste ingredient added,has substance added,
171,21458,yellowstreaked snapper (raw),solid,has quality,
171,21462,yellowstreaked snapper (raw),not heat-treated,has quality,
171,18205,yellowstreaked snapper (raw),skeletal meat part,derives from,
172,2282,lemon peel infusion (dried),divided into pieces,has quality,
172,21520,lemon peel infusion (dried),extract- concentrate or isolate of plant or animal,derives from,
172,21467,lemon peel infusion (dried),water removal process,formed as a result of,
172,21468,lemon peel infusion (dried),preservation by dehydration or drying,formed as a result of,
173,21491,fruit pie filling,semisolid with solid pieces,has quality,
173,21479,fruit pie filling,fruit part,derives from,
173,21487,fruit pie filling,sugar or sugar syrup added,has substance added,
173,21481,fruit pie filling,flavoring- spice or herb added,has substance added,
178,21483,ham (deviled),whole- shape achieved by forming,has quality,
178,7843,ham (deviled),round or leg (meat cut),has quality,
178,19022,ham (deviled),skeletal meat part- without bone- without skin,derives from,
178,10001,ham (deviled),curing or aging process,formed as a result of,
178,21529,ham (deviled),spice or herb added,has substance added,
180,14683,filling mix- dry,finely ground,has quality,
180,7107,filling mix- dry,dry mix,has quality,
180,21467,filling mix- dry,water removal process,formed as a result of,
180,21468,filling mix- dry,preservation by dehydration or drying,formed as a result of,
181,2954,doughnut (sugar),whole- shape achieved by forming- thickness 1.5-7 cm.,has quality,
181,21456,doughnut (sugar),fully heat-treated,has quality,
181,21530,doughnut (sugar),seed- skin removed- germ removed (endosperm),derives from,
181,21531,doughnut (sugar),deep-frying,formed as a result of,
181,21532,doughnut (sugar),fat or oil coated,formed as a result of,
181,21533,doughnut (sugar),sucrose added,has substance added,
181,21534,doughnut (sugar),http://purl.obolibrary.org/obo/FOODON_03460186,has substance added,
181,21511,doughnut (sugar),fat or oil added,has substance added,
182,21464,kippered salmon,whole- natural shape,has quality,
182,14356,kippered salmon,whole animal- skinned- defeathered or scaled- eviscerated,derives from,
182,21535,kippered salmon,smoked by smoke infiltration,formed as a result of,
182,21499,kippered salmon,salted,formed as a result of,
182,21527,kippered salmon,preservation by smoking,formed as a result of,
183,21458,roast beef bottom round (cooked),solid,has quality,
183,21456,roast beef bottom round (cooked),fully heat-treated,has quality,
183,7843,roast beef bottom round (cooked),round or leg (meat cut),has quality,
183,18205,roast beef bottom round (cooked),skeletal meat part,derives from,
183,12823,roast beef bottom round (cooked),food baking process,formed as a result of,
185,21520,ginseng extract with added ginseng root,extract- concentrate or isolate of plant or animal,derives from,
185,21481,ginseng extract with added ginseng root,flavoring- spice or herb added,has substance added,
187,21464,ham (smoked),whole- natural shape,has quality,
187,21456,ham (smoked),fully heat-treated,has quality,
187,18315,ham (smoked),skeletal meat part- without bone or shell,derives from,
187,21535,ham (smoked),smoked by smoke infiltration,formed as a result of,
187,21467,ham (smoked),water removal process,formed as a result of,
187,21527,ham (smoked),preservation by smoking,formed as a result of,
190,20848,cheesecake batter,semiliquid with smooth consistency,has quality,
190,21462,cheesecake batter,not heat-treated,has quality,
190,21460,cheesecake batter,curd,derives from,
190,15328,cheesecake batter,lactic acid fermentation process,formed as a result of,
190,21475,cheesecake batter,food aeration process,formed as a result of,
190,21469,cheesecake batter,nonnutritive sweetener added,has substance added,
190,21523,cheesecake batter,dairy product added,has substance added,
191,2978,imitation grape jelly,semisolid with smooth consistency,has quality,
191,21456,imitation grape jelly,fully heat-treated,has quality,
191,7427,imitation grape jelly,sugar,derives from,
191,21477,imitation grape jelly,http://purl.obolibrary.org/obo/FOODON_03460147,has substance added,
192,21463,champagne,liquid- low viscosity- with no visible particles,has quality,
192,21462,champagne,not heat-treated,has quality,
192,21473,champagne,fruit- peel present- core- pit or seed present,derives from,
192,13230,champagne,alcohol fermentation process,formed as a result of,
192,21536,champagne,carbonated by fermentation,formed as a result of,
192,21509,champagne,preservation by fermentation,formed as a result of,
195,21464,poultry (stuffed- frozen),whole- natural shape,has quality,
195,21537,poultry (stuffed- frozen),meat color- undesignated or unknown (deprecated),has quality,
195,18205,poultry (stuffed- frozen),skeletal meat part,derives from,
195,21501,poultry (stuffed- frozen),food filling process,formed as a result of,
195,21476,poultry (stuffed- frozen),preservation by freezing,formed as a result of,
195,21538,poultry (stuffed- frozen),food added,has substance added,
196,21490,sweet dish,sweetener added,has substance added,
197,2978,whey butter,semisolid with smooth consistency,has quality,
197,21459,whey butter,partially heat-treated,has quality,
197,16090,whey butter,mammalian milk butter,derives from,
199,21486,raspberry beverage syrup,liquid- high viscosity- with no visible particles,has quality,
199,9303,raspberry beverage syrup,beverage base- liquid,has quality,
199,7427,raspberry beverage syrup,sugar,derives from,
199,21477,raspberry beverage syrup,http://purl.obolibrary.org/obo/FOODON_03460147,has substance added,
201,21458,cheese nuworld,solid,has quality,
201,21460,cheese nuworld,curd,derives from,
201,10001,cheese nuworld,curing or aging process,formed as a result of,
201,5406,cheese nuworld,interior mold curing process,formed as a result of,
202,21458,kim chee,solid,has quality,
202,18497,kim chee,part of plant,derives from,
202,4883,kim chee,lactic acid-other agent fermentation process,formed as a result of,
202,21499,kim chee,salted,formed as a result of,
207,2282,parsley flake,divided into pieces,has quality,
207,21482,parsley flake,leaf,derives from,
207,21467,parsley flake,water removal process,formed as a result of,
207,21539,parsley flake,peservation by heat drying,formed as a result of,
208,21458,sardine (scaled),solid,has quality,
208,18205,sardine (scaled),skeletal meat part,derives from,
209,2282,fish (minced- frozen),divided into pieces,has quality,
209,18205,fish (minced- frozen),skeletal meat part,derives from,
209,21476,fish (minced- frozen),preservation by freezing,formed as a result of,
210,21540,noodle soup,liquid- low viscosity- with solid pieces,has quality,
210,21456,noodle soup,fully heat-treated,has quality,
210,21541,noodle soup,broth or stock,derives from,
210,21510,noodle soup,grain added,has substance added,
210,21481,noodle soup,flavoring- spice or herb added,has substance added,
214,2978,premier jus,semisolid with smooth consistency,has quality,
214,8124,premier jus,heat-treated,has quality,
214,484,premier jus,fat or oil,derives from,
215,21502,margarine (herb-flavored),semisolid,has quality,
215,21459,margarine (herb-flavored),partially heat-treated,has quality,
215,484,margarine (herb-flavored),fat or oil,derives from,
215,21461,margarine (herb-flavored),pasteurization by heating,formed as a result of,
215,21529,margarine (herb-flavored),spice or herb added,has substance added,
215,5278,margarine (herb-flavored),vitamin a or carotenes added,has substance added,
216,2282,jasmine tea (dry),divided into pieces,has quality,
216,21459,jasmine tea (dry),partially heat-treated,has quality,
216,21482,jasmine tea (dry),leaf,derives from,
216,21467,jasmine tea (dry),water removal process,formed as a result of,
216,21542,jasmine tea (dry),flavoring- spice or herb added- natural,formed as a result of,
216,21468,jasmine tea (dry),preservation by dehydration or drying,formed as a result of,
217,18178,cracker sandwich (peanut butter filled),whole- shape achieved by forming- thickness 0.3-1.5 cm.,has quality,
217,21456,cracker sandwich (peanut butter filled),fully heat-treated,has quality,
217,21530,cracker sandwich (peanut butter filled),seed- skin removed- germ removed (endosperm),derives from,
217,12823,cracker sandwich (peanut butter filled),food baking process,formed as a result of,
217,21501,cracker sandwich (peanut butter filled),food filling process,formed as a result of,
217,21543,cracker sandwich (peanut butter filled),roasting seed process,formed as a result of,
217,21544,cracker sandwich (peanut butter filled),http://purl.obolibrary.org/obo/FOODON_03460124,has substance added,
217,21511,cracker sandwich (peanut butter filled),fat or oil added,has substance added,
221,21458,nutmeg seed,solid,has quality,
221,21465,nutmeg seed,seed- skin removed- germ present,derives from,
